pdb_filename	pae_filename	pos_covered	uniprot_id
AF-P0DTE8-F1-model_v4.pdb.gz	AF-P0DTE8-F1-predicted_aligned_error_v4.json	[1, 511]	P0DTE8
AF-P52209-F1-model_v4.pdb.gz	AF-P52209-F1-predicted_aligned_error_v4.json	[1, 483]	P52209
AF-Q8N2Z9-F1-model_v4.pdb.gz	AF-Q8N2Z9-F1-predicted_aligned_error_v4.json	[1, 138]	Q8N2Z9
AF-O00230-F1-model_v4.pdb.gz	AF-O00230-F1-predicted_aligned_error_v4.json	[1, 105]	O00230
AF-O00273-F1-model_v4.pdb.gz	AF-O00273-F1-predicted_aligned_error_v4.json	[1, 331]	O00273
AF-O75381-F1-model_v4.pdb.gz	AF-O75381-F1-predicted_aligned_error_v4.json	[1, 377]	O75381
AF-Q86V15-F1-model_v4.pdb.gz	AF-Q86V15-F1-predicted_aligned_error_v4.json	[1, 1759]	Q86V15
AF-Q96LA8-F1-model_v4.pdb.gz	AF-Q96LA8-F1-predicted_aligned_error_v4.json	[1, 375]	Q96LA8
AF-Q9Y2I2-F1-model_v4.pdb.gz	AF-Q9Y2I2-F1-predicted_aligned_error_v4.json	[1, 539]	Q9Y2I2
AF-E7ERA6-F1-model_v4.pdb.gz	AF-E7ERA6-F1-predicted_aligned_error_v4.json	[1, 249]	E7ERA6
AF-Q9UKW4-F1-model_v4.pdb.gz	AF-Q9UKW4-F1-predicted_aligned_error_v4.json	[1, 847]	Q9UKW4
AF-Q6NUK1-F1-model_v4.pdb.gz	AF-Q6NUK1-F1-predicted_aligned_error_v4.json	[1, 477]	Q6NUK1
AF-Q96M43-F1-model_v4.pdb.gz	AF-Q96M43-F1-predicted_aligned_error_v4.json	[1, 638]	Q96M43
AF-Q96HA4-F1-model_v4.pdb.gz	AF-Q96HA4-F1-predicted_aligned_error_v4.json	[1, 380]	Q96HA4
AF-Q5VWK0-F1-model_v4.pdb.gz	AF-Q5VWK0-F1-predicted_aligned_error_v4.json	[1, 638]	Q5VWK0
AF-Q5T8I3-F1-model_v4.pdb.gz	AF-Q5T8I3-F1-predicted_aligned_error_v4.json	[1, 360]	Q5T8I3
AF-Q5T8I9-F1-model_v4.pdb.gz	AF-Q5T8I9-F1-predicted_aligned_error_v4.json	[1, 393]	Q5T8I9
AF-Q5VTL8-F1-model_v4.pdb.gz	AF-Q5VTL8-F1-predicted_aligned_error_v4.json	[1, 546]	Q5VTL8
AF-Q5VTL7-F1-model_v4.pdb.gz	AF-Q5VTL7-F1-predicted_aligned_error_v4.json	[1, 733]	Q5VTL7
AF-O00186-F1-model_v4.pdb.gz	AF-O00186-F1-predicted_aligned_error_v4.json	[1, 592]	O00186
AF-Q5T1N1-F1-model_v4.pdb.gz	AF-Q5T1N1-F1-predicted_aligned_error_v4.json	[1, 836]	Q5T1N1
AF-P81274-F1-model_v4.pdb.gz	AF-P81274-F1-predicted_aligned_error_v4.json	[1, 684]	P81274
AF-Q96S66-F1-model_v4.pdb.gz	AF-Q96S66-F1-predicted_aligned_error_v4.json	[1, 551]	Q96S66
AF-O94967-F1-model_v4.pdb.gz	AF-O94967-F1-predicted_aligned_error_v4.json	[1, 919]	O94967
AF-Q15543-F1-model_v4.pdb.gz	AF-Q15543-F1-predicted_aligned_error_v4.json	[1, 124]	Q15543
AF-Q9NRX6-F1-model_v4.pdb.gz	AF-Q9NRX6-F1-predicted_aligned_error_v4.json	[1, 74]	Q9NRX6
AF-Q5T5A4-F1-model_v4.pdb.gz	AF-Q5T5A4-F1-predicted_aligned_error_v4.json	[1, 169]	Q5T5A4
AF-Q6UXG2-F1-model_v4.pdb.gz	AF-Q6UXG2-F1-predicted_aligned_error_v4.json	[1, 1013]	Q6UXG2
AF-P49591-F1-model_v4.pdb.gz	AF-P49591-F1-predicted_aligned_error_v4.json	[1, 514]	P49591
AF-Q9HCU4-F1-model_v4.pdb.gz		[1, 1400]	Q9HCU4
AF-Q9HCU4-F2-model_v4.pdb.gz		[201, 1600]	Q9HCU4
AF-Q9HCU4-F3-model_v4.pdb.gz		[401, 1800]	Q9HCU4
AF-Q9HCU4-F4-model_v4.pdb.gz		[601, 2000]	Q9HCU4
AF-Q9HCU4-F5-model_v4.pdb.gz		[801, 2200]	Q9HCU4
AF-Q9HCU4-F6-model_v4.pdb.gz		[1001, 2400]	Q9HCU4
AF-Q9HCU4-F7-model_v4.pdb.gz		[1201, 2600]	Q9HCU4
AF-Q9HCU4-F8-model_v4.pdb.gz		[1401, 2800]	Q9HCU4
AF-Q9HCU4-F9-model_v4.pdb.gz		[1601, 2923]	Q9HCU4
AF-Q6PGN9-F1-model_v4.pdb.gz	AF-Q6PGN9-F1-predicted_aligned_error_v4.json	[1, 363]	Q6PGN9
AF-A2RUH7-F1-model_v4.pdb.gz	AF-A2RUH7-F1-predicted_aligned_error_v4.json	[1, 354]	A2RUH7
AF-Q99523-F1-model_v4.pdb.gz	AF-Q99523-F1-predicted_aligned_error_v4.json	[1, 831]	Q99523
AF-P28066-F1-model_v4.pdb.gz	AF-P28066-F1-predicted_aligned_error_v4.json	[1, 241]	P28066
AF-Q5VXT5-F1-model_v4.pdb.gz	AF-Q5VXT5-F1-predicted_aligned_error_v4.json	[1, 272]	Q5VXT5
AF-Q5T6C5-F1-model_v4.pdb.gz	AF-Q5T6C5-F1-predicted_aligned_error_v4.json	[1, 722]	Q5T6C5
AF-Q8N8Q1-F1-model_v4.pdb.gz	AF-Q8N8Q1-F1-predicted_aligned_error_v4.json	[1, 229]	Q8N8Q1
AF-Q86WK6-F1-model_v4.pdb.gz	AF-Q86WK6-F1-predicted_aligned_error_v4.json	[1, 493]	Q86WK6
AF-Q9BZJ8-F1-model_v4.pdb.gz	AF-Q9BZJ8-F1-predicted_aligned_error_v4.json	[1, 451]	Q9BZJ8
AF-P08754-F1-model_v4.pdb.gz	AF-P08754-F1-predicted_aligned_error_v4.json	[1, 354]	P08754
AF-P19087-F1-model_v4.pdb.gz	AF-P19087-F1-predicted_aligned_error_v4.json	[1, 354]	P19087
AF-Q03013-F1-model_v4.pdb.gz	AF-Q03013-F1-predicted_aligned_error_v4.json	[1, 218]	Q03013
AF-P28161-F1-model_v4.pdb.gz	AF-P28161-F1-predicted_aligned_error_v4.json	[1, 218]	P28161
AF-P09488-F1-model_v4.pdb.gz	AF-P09488-F1-predicted_aligned_error_v4.json	[1, 218]	P09488
AF-P46439-F1-model_v4.pdb.gz	AF-P46439-F1-predicted_aligned_error_v4.json	[1, 218]	P46439
AF-P21266-F1-model_v4.pdb.gz	AF-P21266-F1-predicted_aligned_error_v4.json	[1, 225]	P21266
AF-Q8TE67-F1-model_v4.pdb.gz	AF-Q8TE67-F1-predicted_aligned_error_v4.json	[1, 593]	Q8TE67
AF-P09603-F1-model_v4.pdb.gz	AF-P09603-F1-predicted_aligned_error_v4.json	[1, 554]	P09603
AF-O43865-F1-model_v4.pdb.gz	AF-O43865-F1-predicted_aligned_error_v4.json	[1, 530]	O43865
AF-Q5VSL9-F1-model_v4.pdb.gz	AF-Q5VSL9-F1-predicted_aligned_error_v4.json	[1, 837]	Q5VSL9
AF-O95076-F1-model_v4.pdb.gz	AF-O95076-F1-predicted_aligned_error_v4.json	[1, 343]	O95076
AF-Q8N7F7-F1-model_v4.pdb.gz	AF-Q8N7F7-F1-predicted_aligned_error_v4.json	[1, 174]	Q8N7F7
AF-Q13148-F1-model_v4.pdb.gz	AF-Q13148-F1-predicted_aligned_error_v4.json	[1, 414]	Q13148
AF-Q9H1V8-F1-model_v4.pdb.gz	AF-Q9H1V8-F1-predicted_aligned_error_v4.json	[1, 727]	Q9H1V8
AF-Q03721-F1-model_v4.pdb.gz	AF-Q03721-F1-predicted_aligned_error_v4.json	[1, 635]	Q03721
AF-O00187-F1-model_v4.pdb.gz	AF-O00187-F1-predicted_aligned_error_v4.json	[1, 686]	O00187
AF-Q96T37-F1-model_v4.pdb.gz	AF-Q96T37-F1-predicted_aligned_error_v4.json	[1, 977]	Q96T37
AF-O15374-F1-model_v4.pdb.gz	AF-O15374-F1-predicted_aligned_error_v4.json	[1, 487]	O15374
AF-O43504-F1-model_v4.pdb.gz	AF-O43504-F1-predicted_aligned_error_v4.json	[1, 91]	O43504
AF-P58294-F1-model_v4.pdb.gz	AF-P58294-F1-predicted_aligned_error_v4.json	[1, 105]	P58294
AF-Q16322-F1-model_v4.pdb.gz	AF-Q16322-F1-predicted_aligned_error_v4.json	[1, 511]	Q16322
AF-P19623-F1-model_v4.pdb.gz	AF-P19623-F1-predicted_aligned_error_v4.json	[1, 302]	P19623
AF-P16389-F1-model_v4.pdb.gz	AF-P16389-F1-predicted_aligned_error_v4.json	[1, 499]	P16389
AF-Q01780-F1-model_v4.pdb.gz	AF-Q01780-F1-predicted_aligned_error_v4.json	[1, 885]	Q01780
AF-P19397-F1-model_v4.pdb.gz	AF-P19397-F1-predicted_aligned_error_v4.json	[1, 219]	P19397
AF-Q5T3J3-F1-model_v4.pdb.gz	AF-Q5T3J3-F1-predicted_aligned_error_v4.json	[1, 769]	Q5T3J3
AF-P42345-F1-model_v4.pdb.gz	AF-P42345-F1-predicted_aligned_error_v4.json	[1, 2549]	P42345
AF-Q6UX65-F1-model_v4.pdb.gz	AF-Q6UX65-F1-predicted_aligned_error_v4.json	[1, 266]	Q6UX65
AF-Q9Y6K0-F1-model_v4.pdb.gz	AF-Q9Y6K0-F1-predicted_aligned_error_v4.json	[1, 416]	Q9Y6K0
AF-Q9H6A0-F1-model_v4.pdb.gz	AF-Q9H6A0-F1-predicted_aligned_error_v4.json	[1, 471]	Q9H6A0
AF-Q15782-F1-model_v4.pdb.gz	AF-Q15782-F1-predicted_aligned_error_v4.json	[1, 390]	Q15782
AF-Q9BZP6-F1-model_v4.pdb.gz	AF-Q9BZP6-F1-predicted_aligned_error_v4.json	[1, 476]	Q9BZP6
AF-Q8TCI5-F1-model_v4.pdb.gz	AF-Q8TCI5-F1-predicted_aligned_error_v4.json	[1, 191]	Q8TCI5
AF-Q12889-F1-model_v4.pdb.gz	AF-Q12889-F1-predicted_aligned_error_v4.json	[1, 678]	Q12889
AF-Q9BQA1-F1-model_v4.pdb.gz	AF-Q9BQA1-F1-predicted_aligned_error_v4.json	[1, 342]	Q9BQA1
AF-P24539-F1-model_v4.pdb.gz	AF-P24539-F1-predicted_aligned_error_v4.json	[1, 256]	P24539
AF-Q8NEQ5-F1-model_v4.pdb.gz	AF-Q8NEQ5-F1-predicted_aligned_error_v4.json	[1, 155]	Q8NEQ5
AF-P0DMS9-F1-model_v4.pdb.gz	AF-P0DMS9-F1-predicted_aligned_error_v4.json	[1, 266]	P0DMS9
AF-P0DMS8-F1-model_v4.pdb.gz	AF-P0DMS8-F1-predicted_aligned_error_v4.json	[1, 318]	P0DMS8
AF-P62834-F1-model_v4.pdb.gz	AF-P62834-F1-predicted_aligned_error_v4.json	[1, 184]	P62834
AF-Q9NTI7-F1-model_v4.pdb.gz	AF-Q9NTI7-F1-predicted_aligned_error_v4.json	[1, 297]	Q9NTI7
AF-Q9UHI6-F1-model_v4.pdb.gz	AF-Q9UHI6-F1-predicted_aligned_error_v4.json	[1, 824]	Q9UHI6
AF-Q9UK17-F1-model_v4.pdb.gz	AF-Q9UK17-F1-predicted_aligned_error_v4.json	[1, 655]	Q9UK17
AF-O43827-F1-model_v4.pdb.gz	AF-O43827-F1-predicted_aligned_error_v4.json	[1, 346]	O43827
AF-Q9P2B4-F1-model_v4.pdb.gz	AF-Q9P2B4-F1-predicted_aligned_error_v4.json	[1, 639]	Q9P2B4
AF-Q93097-F1-model_v4.pdb.gz	AF-Q93097-F1-predicted_aligned_error_v4.json	[1, 391]	Q93097
AF-Q8TDW4-F1-model_v4.pdb.gz	AF-Q8TDW4-F1-predicted_aligned_error_v4.json	[1, 575]	Q8TDW4
AF-P52907-F1-model_v4.pdb.gz	AF-P52907-F1-predicted_aligned_error_v4.json	[1, 286]	P52907
AF-Q9HCE1-F1-model_v4.pdb.gz	AF-Q9HCE1-F1-predicted_aligned_error_v4.json	[1, 1003]	Q9HCE1
AF-P08134-F1-model_v4.pdb.gz	AF-P08134-F1-predicted_aligned_error_v4.json	[1, 193]	P08134
AF-Q5JR12-F1-model_v4.pdb.gz	AF-Q5JR12-F1-predicted_aligned_error_v4.json	[1, 505]	Q5JR12
AF-Q7Z5A8-F1-model_v4.pdb.gz	AF-Q7Z5A8-F1-predicted_aligned_error_v4.json	[1, 133]	Q7Z5A8
AF-Q9Y5Z9-F1-model_v4.pdb.gz	AF-Q9Y5Z9-F1-predicted_aligned_error_v4.json	[1, 338]	Q9Y5Z9
AF-P53985-F1-model_v4.pdb.gz	AF-P53985-F1-predicted_aligned_error_v4.json	[1, 500]	P53985
AF-O94898-F1-model_v4.pdb.gz	AF-O94898-F1-predicted_aligned_error_v4.json	[1, 1065]	O94898
AF-Q5TCQ9-F1-model_v4.pdb.gz	AF-Q5TCQ9-F1-predicted_aligned_error_v4.json	[1, 1481]	Q5TCQ9
AF-Q9UMS5-F1-model_v4.pdb.gz	AF-Q9UMS5-F1-predicted_aligned_error_v4.json	[1, 762]	Q9UMS5
AF-Q5VWQ0-F1-model_v4.pdb.gz	AF-Q5VWQ0-F1-predicted_aligned_error_v4.json	[1, 802]	Q5VWQ0
AF-Q5TBC7-F1-model_v4.pdb.gz	AF-Q5TBC7-F1-predicted_aligned_error_v4.json	[1, 163]	Q5TBC7
AF-Q9Y6B7-F1-model_v4.pdb.gz	AF-Q9Y6B7-F1-predicted_aligned_error_v4.json	[1, 739]	Q9Y6B7
AF-Q9H816-F1-model_v4.pdb.gz	AF-Q9H816-F1-predicted_aligned_error_v4.json	[1, 532]	Q9H816
AF-Q86Z02-F1-model_v4.pdb.gz	AF-Q86Z02-F1-predicted_aligned_error_v4.json	[1, 1210]	Q86Z02
AF-Q9NRN5-F1-model_v4.pdb.gz	AF-Q9NRN5-F1-predicted_aligned_error_v4.json	[1, 406]	Q9NRN5
AF-Q5T7P8-F1-model_v4.pdb.gz	AF-Q5T7P8-F1-predicted_aligned_error_v4.json	[1, 510]	Q5T7P8
AF-Q9UPN9-F1-model_v4.pdb.gz	AF-Q9UPN9-F1-predicted_aligned_error_v4.json	[1, 1127]	Q9UPN9
AF-O75934-F1-model_v4.pdb.gz	AF-O75934-F1-predicted_aligned_error_v4.json	[1, 225]	O75934
AF-Q68D51-F1-model_v4.pdb.gz	AF-Q68D51-F1-predicted_aligned_error_v4.json	[1, 928]	Q68D51
AF-P01111-F1-model_v4.pdb.gz	AF-P01111-F1-predicted_aligned_error_v4.json	[1, 189]	P01111
AF-O75534-F1-model_v4.pdb.gz	AF-O75534-F1-predicted_aligned_error_v4.json	[1, 798]	O75534
AF-Q9BRV8-F1-model_v4.pdb.gz	AF-Q9BRV8-F1-predicted_aligned_error_v4.json	[1, 207]	Q9BRV8
AF-Q15431-F1-model_v4.pdb.gz	AF-Q15431-F1-predicted_aligned_error_v4.json	[1, 976]	Q15431
AF-Q9P2K9-F1-model_v4.pdb.gz	AF-Q9P2K9-F1-predicted_aligned_error_v4.json	[1, 1392]	Q9P2K9
AF-P01222-F1-model_v4.pdb.gz	AF-P01222-F1-predicted_aligned_error_v4.json	[1, 138]	P01222
AF-O60636-F1-model_v4.pdb.gz	AF-O60636-F1-predicted_aligned_error_v4.json	[1, 221]	O60636
AF-P01138-F1-model_v4.pdb.gz	AF-P01138-F1-predicted_aligned_error_v4.json	[1, 241]	P01138
AF-Q8TAA9-F1-model_v4.pdb.gz	AF-Q8TAA9-F1-predicted_aligned_error_v4.json	[1, 524]	Q8TAA9
AF-O14958-F1-model_v4.pdb.gz	AF-O14958-F1-predicted_aligned_error_v4.json	[1, 399]	O14958
AF-Q02577-F1-model_v4.pdb.gz	AF-Q02577-F1-predicted_aligned_error_v4.json	[1, 135]	Q02577
AF-Q8IZD6-F1-model_v4.pdb.gz	AF-Q8IZD6-F1-predicted_aligned_error_v4.json	[1, 547]	Q8IZD6
AF-Q8N8X9-F1-model_v4.pdb.gz	AF-Q8N8X9-F1-predicted_aligned_error_v4.json	[1, 362]	Q8N8X9
AF-P05023-F1-model_v4.pdb.gz	AF-P05023-F1-predicted_aligned_error_v4.json	[1, 1023]	P05023
AF-Q9UK22-F1-model_v4.pdb.gz	AF-Q9UK22-F1-predicted_aligned_error_v4.json	[1, 296]	Q9UK22
AF-P19256-F1-model_v4.pdb.gz	AF-P19256-F1-predicted_aligned_error_v4.json	[1, 250]	P19256
AF-Q9H4M3-F1-model_v4.pdb.gz	AF-Q9H4M3-F1-predicted_aligned_error_v4.json	[1, 255]	Q9H4M3
AF-O75054-F1-model_v4.pdb.gz	AF-O75054-F1-predicted_aligned_error_v4.json	[1, 1194]	O75054
AF-Q9NRD1-F1-model_v4.pdb.gz	AF-Q9NRD1-F1-predicted_aligned_error_v4.json	[1, 293]	Q9NRD1
AF-Q9UI95-F1-model_v4.pdb.gz	AF-Q9UI95-F1-predicted_aligned_error_v4.json	[1, 211]	Q9UI95
AF-P06729-F1-model_v4.pdb.gz	AF-P06729-F1-predicted_aligned_error_v4.json	[1, 351]	P06729
AF-Q9P2B2-F1-model_v4.pdb.gz	AF-Q9P2B2-F1-predicted_aligned_error_v4.json	[1, 879]	Q9P2B2
AF-Q93033-F1-model_v4.pdb.gz	AF-Q93033-F1-predicted_aligned_error_v4.json	[1, 1021]	Q93033
AF-Q9UNY4-F1-model_v4.pdb.gz	AF-Q9UNY4-F1-predicted_aligned_error_v4.json	[1, 1162]	Q9UNY4
AF-Q8NBI3-F1-model_v4.pdb.gz	AF-Q8NBI3-F1-predicted_aligned_error_v4.json	[1, 349]	Q8NBI3
AF-Q9H8W5-F1-model_v4.pdb.gz	AF-Q9H8W5-F1-predicted_aligned_error_v4.json	[1, 580]	Q9H8W5
AF-Q7Z7D3-F1-model_v4.pdb.gz	AF-Q7Z7D3-F1-predicted_aligned_error_v4.json	[1, 282]	Q7Z7D3
AF-Q6RW13-F1-model_v4.pdb.gz	AF-Q6RW13-F1-predicted_aligned_error_v4.json	[1, 159]	Q6RW13
AF-O60476-F1-model_v4.pdb.gz	AF-O60476-F1-predicted_aligned_error_v4.json	[1, 641]	O60476
AF-Q5VWP2-F1-model_v4.pdb.gz	AF-Q5VWP2-F1-predicted_aligned_error_v4.json	[1, 391]	Q5VWP2
AF-Q9NXN4-F1-model_v4.pdb.gz	AF-Q9NXN4-F1-predicted_aligned_error_v4.json	[1, 497]	Q9NXN4
AF-P42898-F1-model_v4.pdb.gz	AF-P42898-F1-predicted_aligned_error_v4.json	[1, 656]	P42898
AF-Q6ZVT0-F1-model_v4.pdb.gz	AF-Q6ZVT0-F1-predicted_aligned_error_v4.json	[1, 673]	Q6ZVT0
AF-Q9UNX4-F1-model_v4.pdb.gz	AF-Q9UNX4-F1-predicted_aligned_error_v4.json	[1, 943]	Q9UNX4
AF-Q6Q759-F1-model_v4.pdb.gz	AF-Q6Q759-F1-predicted_aligned_error_v4.json	[1, 2223]	Q6Q759
AF-P51797-F1-model_v4.pdb.gz	AF-P51797-F1-predicted_aligned_error_v4.json	[1, 869]	P51797
AF-P01160-F1-model_v4.pdb.gz	AF-P01160-F1-predicted_aligned_error_v4.json	[1, 151]	P01160
AF-P16860-F1-model_v4.pdb.gz	AF-P16860-F1-predicted_aligned_error_v4.json	[1, 134]	P16860
AF-Q96SF7-F1-model_v4.pdb.gz	AF-Q96SF7-F1-predicted_aligned_error_v4.json	[1, 602]	Q96SF7
AF-Q9UGM6-F1-model_v4.pdb.gz	AF-Q9UGM6-F1-predicted_aligned_error_v4.json	[1, 360]	Q9UGM6
AF-Q8IYS2-F1-model_v4.pdb.gz	AF-Q8IYS2-F1-predicted_aligned_error_v4.json	[1, 634]	Q8IYS2
AF-Q02809-F1-model_v4.pdb.gz	AF-Q02809-F1-predicted_aligned_error_v4.json	[1, 727]	Q02809
AF-Q9NYQ3-F1-model_v4.pdb.gz	AF-Q9NYQ3-F1-predicted_aligned_error_v4.json	[1, 351]	Q9NYQ3
AF-P26439-F1-model_v4.pdb.gz	AF-P26439-F1-predicted_aligned_error_v4.json	[1, 372]	P26439
AF-P14060-F1-model_v4.pdb.gz	AF-P14060-F1-predicted_aligned_error_v4.json	[1, 373]	P14060
AF-Q5TEC3-F1-model_v4.pdb.gz	AF-Q5TEC3-F1-predicted_aligned_error_v4.json	[1, 545]	Q5TEC3
AF-O43175-F1-model_v4.pdb.gz	AF-O43175-F1-predicted_aligned_error_v4.json	[1, 533]	O43175
AF-P54868-F1-model_v4.pdb.gz	AF-P54868-F1-predicted_aligned_error_v4.json	[1, 508]	P54868
AF-Q9BYZ8-F1-model_v4.pdb.gz	AF-Q9BYZ8-F1-predicted_aligned_error_v4.json	[1, 158]	Q9BYZ8
AF-O95140-F1-model_v4.pdb.gz	AF-O95140-F1-predicted_aligned_error_v4.json	[1, 757]	O95140
AF-Q9UKF2-F1-model_v4.pdb.gz	AF-Q9UKF2-F1-predicted_aligned_error_v4.json	[1, 790]	Q9UKF2
AF-Q04721-F1-model_v4.pdb.gz	AF-Q04721-F1-predicted_aligned_error_v4.json	[1, 2471]	Q04721
AF-Q5JXC2-F1-model_v4.pdb.gz	AF-Q5JXC2-F1-predicted_aligned_error_v4.json	[1, 388]	Q5JXC2
AF-Q9Y5U5-F1-model_v4.pdb.gz	AF-Q9Y5U5-F1-predicted_aligned_error_v4.json	[1, 241]	Q9Y5U5
AF-P28908-F1-model_v4.pdb.gz	AF-P28908-F1-predicted_aligned_error_v4.json	[1, 595]	P28908
AF-A0A096LNW5-F1-model_v4.pdb.gz	AF-A0A096LNW5-F1-predicted_aligned_error_v4.json	[1, 274]	A0A096LNW5
AF-Q9Y536-F1-model_v4.pdb.gz	AF-Q9Y536-F1-predicted_aligned_error_v4.json	[1, 164]	Q9Y536
AF-P43489-F1-model_v4.pdb.gz	AF-P43489-F1-predicted_aligned_error_v4.json	[1, 277]	P43489
AF-Q86X60-F1-model_v4.pdb.gz	AF-Q86X60-F1-predicted_aligned_error_v4.json	[1, 149]	Q86X60
AF-P0DJJ0-F1-model_v4.pdb.gz	AF-P0DJJ0-F1-predicted_aligned_error_v4.json	[1, 459]	P0DJJ0
AF-P20333-F1-model_v4.pdb.gz	AF-P20333-F1-predicted_aligned_error_v4.json	[1, 461]	P20333
AF-Q5THJ4-F1-model_v4.pdb.gz		[1, 1400]	Q5THJ4
AF-Q5THJ4-F2-model_v4.pdb.gz		[201, 1600]	Q5THJ4
AF-Q5THJ4-F3-model_v4.pdb.gz		[401, 1800]	Q5THJ4
AF-Q5THJ4-F4-model_v4.pdb.gz		[601, 2000]	Q5THJ4
AF-Q5THJ4-F5-model_v4.pdb.gz		[801, 2200]	Q5THJ4
AF-Q5THJ4-F6-model_v4.pdb.gz		[1001, 2400]	Q5THJ4
AF-Q5THJ4-F7-model_v4.pdb.gz		[1201, 2600]	Q5THJ4
AF-Q5THJ4-F8-model_v4.pdb.gz		[1401, 2800]	Q5THJ4
AF-Q5THJ4-F9-model_v4.pdb.gz		[1601, 3000]	Q5THJ4
AF-Q5THJ4-F10-model_v4.pdb.gz		[1801, 3200]	Q5THJ4
AF-Q5THJ4-F11-model_v4.pdb.gz		[2001, 3400]	Q5THJ4
AF-Q5THJ4-F12-model_v4.pdb.gz		[2201, 3600]	Q5THJ4
AF-Q5THJ4-F13-model_v4.pdb.gz		[2401, 3800]	Q5THJ4
AF-Q5THJ4-F14-model_v4.pdb.gz		[2601, 4000]	Q5THJ4
AF-Q5THJ4-F15-model_v4.pdb.gz		[2801, 4200]	Q5THJ4
AF-Q5THJ4-F16-model_v4.pdb.gz		[3001, 4388]	Q5THJ4
AF-Q96L58-F1-model_v4.pdb.gz	AF-Q96L58-F1-predicted_aligned_error_v4.json	[1, 329]	Q96L58
AF-Q5T7M4-F1-model_v4.pdb.gz	AF-Q5T7M4-F1-predicted_aligned_error_v4.json	[1, 302]	Q5T7M4
AF-Q8N2K1-F1-model_v4.pdb.gz	AF-Q8N2K1-F1-predicted_aligned_error_v4.json	[1, 259]	Q8N2K1
AF-O75911-F1-model_v4.pdb.gz	AF-O75911-F1-predicted_aligned_error_v4.json	[1, 302]	O75911
AF-Q5VUY2-F1-model_v4.pdb.gz	AF-Q5VUY2-F1-predicted_aligned_error_v4.json	[1, 407]	Q5VUY2
AF-Q5VUY0-F1-model_v4.pdb.gz	AF-Q5VUY0-F1-predicted_aligned_error_v4.json	[1, 407]	Q5VUY0
AF-O95522-F1-model_v4.pdb.gz	AF-O95522-F1-predicted_aligned_error_v4.json	[1, 483]	O95522
